식품명,에너지(kcal)
국밥_돼지머리,137
국밥_순대국밥,75
국밥_콩나물,52
기장밥,166
김밥,140
김밥_김치,130
김밥_날치알,177
김밥_돈가스,202
김밥_소고기,179
김밥_참치,174
김밥_채소,158
김밥_치즈,177
김밥_풋고추,169
덮밥_낙지,150
덮밥_닭고기,125
덮밥_돼지고기(제육),202
덮밥_불고기,182
덮밥_오징어,135
보리밥,161
볶음밥,183
볶음밥_계란,225
볶음밥_김치,167
볶음밥_새우,172
볶음밥_소고기,176
볶음밥_참치,180
볶음밥_채소,182
볶음밥_표고버섯,184
비빔밥,142
비빔밥_돌솥,147
비빔밥_육회,147
삼각김밥_참치마요네즈,199
수수밥,161
알밥,128
영양돌솥밥,184
오므라이스,173
자장밥,122
잡곡밥,146
잡채밥,150
주먹밥_소고기,178
짬뽕밥,72
차조밥,157
찰밥,153
초밥_모듬,160
초밥_유부초밥,194
카레라이스,108
콩나물밥,123
콩밥_검정콩,165
콩밥_완두콩,138
하이라이스,112
현미밥,172
회덮밥_모듬,145
가래떡,195
경단_깨,240
꿀떡,228
모듬찰떡,218
백설기,230
송편_깨,219
시루떡,224
약식,220
인절미,242
절편_쑥,192
증편,200
찹쌀떡_팥,295
도넛_링도넛,515
도넛_찹쌀,288
마늘빵,438
머핀,384
모닝빵,314
모카빵,339
베이글,306
샌드위치_닭가슴살,240
샌드위치_모듬,193
샌드위치_참치,202
샌드위치_채소,244
샌드위치_햄_달걀,220
소보로빵,392
식빵,264
초코소라빵,319
츄러스,361
카스텔라,335
케이크_롤케이크,312
케이크_생크림케이크,237
크로와상,446
파이/만주_사과파이,185
페이스트리,466
피자_콤비네이션피자,274
피자빵,298
햄버거,264
햄버거_불고기버거,250
호떡_견과류,314
간자장,125
국수_막국수,133
국수_비빔국수,102
국수_잔치국수,44
국수_쟁반막국수,119
냉면_물냉면,55
냉면_비빔냉면,100
냉면_회냉면_홍어,148
떡국,84
떡만두국,111
라면,82
라면_달걀,108
라면_떡,96
만두_고기만두,159
만두_군만두,234
만두_김치만두,152
만두_물만두,195
만두국_사골,87
메밀국수_온면,63
수제비,58
스파게티_미트볼,180
우동_일식,158
우동볶음,128
월남쌈,118
자장면,88
짬뽕,58
쫄면,129
칼국수,77
칼국수_바지락,82
콩국수,81
닭죽,44
스프_양송이버섯,105
오리죽,155
전복죽,79
채소죽,43
팥죽,81
호박죽,49
흑임자죽,61
갈비탕,54
감자국,21
곰탕,24
곰탕_우거지,25
굴국_무,25
김치국,23
김치국_콩나물,12
내장탕,71
냉국_미역,37
냉국_미역_오이,6
달걀국,13
달걀탕_순두부,29
닭곰탕,51
도가니탕,40
된장국_감자,25
된장국_냉이,22
된장국_미역,24
된장국_배추,20
된장국_시금치,9
된장국_시래기,15
된장국_쑥,15
된장국_아욱,20
된장국_얼갈이배추,9
된장국_우거지,20
된장국_콩나물,31
된장국_해물,28
된장국_호박,31
된장국_호박잎,7
무국_소고기,15
무국_홍합,25
묵국_메밀묵,22
미역국,12
미역국_대합,11
미역국_새우,16
미역국_소고기,13
배추국_소고기,16
북어국,28
사골국,55
삼계탕,101
새우탕,33
설렁탕,24
순대국,85
어묵국(어묵탕),31
오징어국,18
육개장,30
육개장_닭고기,20
장어탕,67
재첩국,23
조개국,16
콩나물국,6
토란국,16
해장국_뼈다귀,26
해장국_선지,29
갈치찌개,38
감자탕,71
김치전골,73
김치찌개_꽁치,89
김치찌개_돼지고기,45
김치찌개_어묵,38
김치찌개_참치,51
김치찌개_햄,31
꽃게탕,17
낙지전골,51
동태국,17
동태찌개,44
돼지고기찌개,48
된장찌개,46
된장찌개_냉이,19
된장찌개_달래,35
된장찌개_두부,41
된장찌개_바지락,23
두부찌개_고추장,52
두부찌개_소고기_고추장,58
두부찌개_소고기_된장,55
매운탕_대구,22
매운탕_해물,35
버섯전골,78
부대찌개,123
샤브샤브_버섯,30
샤브샤브_소고기,43
소고기전골,63
순두부찌개_김치,35
알탕,39
오리백숙,112
오리탕,121
오징어찌개,34
청국장찌개,47
추어탕,54
콩비지찌개,69
호박찌개_고추장,41
고구마_찐고구마,139
가오리찜,102
갈비찜_소고기,85
감자_찐감자,70
깻잎찜,97
꼬막찜,96
꽈리고추찜,104
달걀찜_새우젓,58
달걀찜_우유,105
닭찜,107
돼지갈비찜,194
사태찜_소고기,110
수육_소고기,166
순대,187
아귀찜,84
애호박찜,181
옥수수_찐옥수수,185
족발,233
코다리찜,94
콩나물찜_해물,56
풋고추찜,51
가자미구이,123
갈비구이_소고기,241
갈치구이_기름,138
고등어구이_석쇠,340
곱창구이_소고기,184
김구이_조미김,470
꼬치구이_닭고기_대파,245
닭구이,257
닭발구이,196
떡갈비,202
런천미트구이,303
뱅어포구이,374
버섯구이,52
버섯구이_새송이버섯,84
버섯구이표고버섯,100
삼겹살구이,467
삼겹살구이_고추장,403
삼치구이,178
새우구이,145
소불고기,170
스테이크_소등심,194
스테이크_소안심,183
오리고기구이,293
오리불고기,145
장어구이_고추장,259
조개구이_키조개,130
조기구이,177
